run,query,data,type,phase,netw_time,reas_time
0,pp1.n3,data_10_000_pt2.nt,direct,n/a,3453,982
0,pp1.n3,data_10_000_pt2.nt,bwd,create,15,13
0,pp1.n3,data_10_000_pt2.nt,bwd,run,3473,929
0,pp1.n3,data_10_000_pt2.nt,bwd,total,3488,942
0,pp1.n3,data_10_000_pt2.nt,fwd,create,15,13
0,pp1.n3,data_10_000_pt2.nt,fwd,run,3451,1510
0,pp1.n3,data_10_000_pt2.nt,fwd,total,3466,1523
0,pp2-2.n3,data_10_000_pt2.nt,direct,n/a,3431,32
0,pp2-2.n3,data_10_000_pt2.nt,bwd,create,15,13
0,pp2-2.n3,data_10_000_pt2.nt,bwd,run,3410,31
0,pp2-2.n3,data_10_000_pt2.nt,bwd,total,3425,44
0,pp2-2.n3,data_10_000_pt2.nt,fwd,create,14,13
0,pp2-2.n3,data_10_000_pt2.nt,fwd,run,3414,542
0,pp2-2.n3,data_10_000_pt2.nt,fwd,total,3428,555
0,pp2.n3,data_10_000_pt2.nt,direct,n/a,3405,77843
0,pp2.n3,data_10_000_pt2.nt,bwd,create,16,13
0,pp2.n3,data_10_000_pt2.nt,bwd,run,3402,51862
0,pp2.n3,data_10_000_pt2.nt,bwd,total,3418,51875
0,pp2.n3,data_10_000_pt2.nt,fwd,create,15,13
0,pp2.n3,data_10_000_pt2.nt,fwd,run,3348,35964
0,pp2.n3,data_10_000_pt2.nt,fwd,total,3363,35977
0,pp3.n3,data_10_000_pt2.nt,direct,n/a,3441,16881
0,pp3.n3,data_10_000_pt2.nt,bwd,create,15,41
0,pp3.n3,data_10_000_pt2.nt,bwd,run,3473,16138
0,pp3.n3,data_10_000_pt2.nt,bwd,total,3488,16179
0,pp3.n3,data_10_000_pt2.nt,fwd,create,15,41
0,pp3.n3,data_10_000_pt2.nt,fwd,run,3421,221258
0,pp3.n3,data_10_000_pt2.nt,fwd,total,3436,221299
0,pp4-2.n3,data_10_000_pt2.nt,direct,n/a,3447,28
0,pp4-2.n3,data_10_000_pt2.nt,bwd,create,15,20
0,pp4-2.n3,data_10_000_pt2.nt,bwd,run,3367,28
0,pp4-2.n3,data_10_000_pt2.nt,bwd,total,3382,48
0,pp4-2.n3,data_10_000_pt2.nt,fwd,create,14,20
0,pp4-2.n3,data_10_000_pt2.nt,fwd,run,3392,863
0,pp4-2.n3,data_10_000_pt2.nt,fwd,total,3406,883
0,pp4.n3,data_10_000_pt2.nt,direct,n/a,-1,-1
0,pp4.n3,data_10_000_pt2.nt,bwd,create,16,20

0,pp1.n3,data_10_000_pt2.nt,mxd,create,17,13
0,pp1.n3,data_10_000_pt2.nt,mxd,run,3373,1518
0,pp1.n3,data_10_000_pt2.nt,mxd,total,3390,1531
0,pp2-2.n3,data_10_000_pt2.nt,mxd,create,15,13
0,pp2-2.n3,data_10_000_pt2.nt,mxd,run,3367,502
0,pp2-2.n3,data_10_000_pt2.nt,mxd,total,3382,515
0,pp2.n3,data_10_000_pt2.nt,mxd,create,14,13
0,pp2.n3,data_10_000_pt2.nt,mxd,run,3364,36055
0,pp2.n3,data_10_000_pt2.nt,mxd,total,3378,36068
0,pp3.n3,data_10_000_pt2.nt,mxd,create,14,41
0,pp3.n3,data_10_000_pt2.nt,mxd,run,3345,32874
0,pp3.n3,data_10_000_pt2.nt,mxd,total,3359,32915
0,pp4-2.n3,data_10_000_pt2.nt,mxd,create,15,20
0,pp4-2.n3,data_10_000_pt2.nt,mxd,run,3375,842
0,pp4-2.n3,data_10_000_pt2.nt,mxd,total,3390,862
0,pp4.n3,data_10_000_pt2.nt,mxd,create,14,20
0,pp4.n3,data_10_000_pt2.nt,mxd,run,3298,45098
0,pp4.n3,data_10_000_pt2.nt,mxd,total,3312,45118

0,pp2.n3,data_10_000_pt2.nt,bwd_ro1,run,3274,6660
0,pp2.n3,data_10_000_pt2.nt,bwd_ro1,total,3274,6660

0,pp4.n3,data_10_000_pt2.nt,bwd_ro1,run,3333,3822
0,pp4.n3,data_10_000_pt2.nt,bwd_ro1,total,3333,3822

0,pp2-re0.n3,data_10_000_pt2.nt,direct,n/a,3486,35
0,pp2-re0.n3,data_10_000_pt2.nt,bwd,create,15,13
0,pp2-re0.n3,data_10_000_pt2.nt,bwd,run,3389,31
0,pp2-re0.n3,data_10_000_pt2.nt,bwd,total,3404,44
0,pp2-re0.n3,data_10_000_pt2.nt,fwd,create,14,13
0,pp2-re0.n3,data_10_000_pt2.nt,fwd,run,3213,498
0,pp2-re0.n3,data_10_000_pt2.nt,fwd,total,3227,511
0,pp2-re0.n3,data_10_000_pt2.nt,mxd,create,15,13
0,pp2-re0.n3,data_10_000_pt2.nt,mxd,run,3306,511
0,pp2-re0.n3,data_10_000_pt2.nt,mxd,total,3321,524

0,pp2-re1.n3,data_10_000_pt2.nt,direct,n/a,3183,7830
0,pp2-re1.n3,data_10_000_pt2.nt,bwd,create,15,13
0,pp2-re1.n3,data_10_000_pt2.nt,bwd,run,3396,5123
0,pp2-re1.n3,data_10_000_pt2.nt,bwd,total,3411,5136
0,pp2-re1.n3,data_10_000_pt2.nt,fwd,create,15,13
0,pp2-re1.n3,data_10_000_pt2.nt,fwd,run,3460,3547
0,pp2-re1.n3,data_10_000_pt2.nt,fwd,total,3475,3560
0,pp2-re1.n3,data_10_000_pt2.nt,mxd,create,14,13
0,pp2-re1.n3,data_10_000_pt2.nt,mxd,run,3354,3607
0,pp2-re1.n3,data_10_000_pt2.nt,mxd,total,3368,3620
0,pp2-re0.n3,data_10_000_pt2.nt,bwd_ro1,run,3348,62
0,pp2-re0.n3,data_10_000_pt2.nt,bwd_ro1,total,3348,62

0,pp2-re1.n3,data_10_000_pt2.nt,bwd_ro1,run,3431,344
0,pp2-re1.n3,data_10_000_pt2.nt,bwd_ro1,total,3431,344

0,pp4-re0.n3,data_10_000_pt2.nt,direct,n/a,3422,66
0,pp4-re0.n3,data_10_000_pt2.nt,bwd,create,14,20
0,pp4-re0.n3,data_10_000_pt2.nt,bwd,run,3376,34
0,pp4-re0.n3,data_10_000_pt2.nt,bwd,total,3390,54
0,pp4-re0.n3,data_10_000_pt2.nt,bwd_ro1,run,3431,58
0,pp4-re0.n3,data_10_000_pt2.nt,bwd_ro1,total,3431,58
0,pp4-re0.n3,data_10_000_pt2.nt,fwd,create,14,20
0,pp4-re0.n3,data_10_000_pt2.nt,fwd,run,3342,872
0,pp4-re0.n3,data_10_000_pt2.nt,fwd,total,3356,892
0,pp4-re0.n3,data_10_000_pt2.nt,mxd,create,15,20
0,pp4-re0.n3,data_10_000_pt2.nt,mxd,run,3378,875
0,pp4-re0.n3,data_10_000_pt2.nt,mxd,total,3393,895
